movie_name,trailer_video_id,likes,dislikes,views,sentiment_score
25th Hour,4CHVHPi0opQ,167,41,495534,0.12769591836734695
Frailty,JKFi3owPUmg,561,34,488623,0.09218041237113406
Jason X,OVLIgsf6qcs,18908,861,1553745,0.10067327935222672
fear dot com,kSDNIYw1nLI,241,53,257190,-0.06526000000000001
Juwanna Mann,LfGnspMWpUY,407,34,338946,0.24655979381443302
Hey Arnold! The Movie,BkGaza1rPfQ,19589,1247,1763859,0.20903319999999975
Y Tu Mama Tambien,3Qg6n7V3kO4,1511,223,3421699,0.18319843750000006
Monsoon Wedding,gQpOc1CWA5Q,1256,512,1591031,0.22328260869565214
The Good Girl,8Ve4llQ3XAc,33831,1996,11777632,0.08370261569416504
Stealing Harvard,mmJD7_ueDLc,96,12,121071,0.26865
The Emperor's Club,k0gHibeHfdA,313,14,197984,0.17540408163265306
Ballistic: Ecks vs. Sever,Tme_SdRv2gk,111,155,192798,-0.07354923076923081
"Life, or Something Like It",O3TGg7hyaso,235,32,408641,0
Solaris,rvm7WMbXfeY,496,152,657681,0.21018196721311477
Half Past Dead,yNts_qB6Qfw,137,28,302790,0.034402777777777775
The Lion King (IMAX),q8p8nPQK8UY,98,8,81260,0.28266250000000004
Far From Heaven,_qje4IEAQpQ,71,24,146086,0.17482352941176477
Confessions of a Dangerous Mind,xha4hZeXFtQ,553,30,654449,0.22571285714285716
Kung Pow! Enter the Fist,GXrAYdSeWY8,2877,185,1627759,0.11906334405144692
White Oleander,Qxq5P_t4uF8,551,18,192662,0.4431714285714286
Serving Sara,yH5LUdNfKb0,167,20,240068,0.3131133333333333
The Country Bears,xeQRV0pskyw,,,151530,0
Eight Legged Freaks,C1WhVnLahvM,405,27,453434,0.07419769736842105
Empire,leXo4-QLNVc,49991,3321,26364790,0.10458860000000002
Punch-Drunk Love,VNeZi1y_v88,1228,67,1079698,0.2313449999999998
The Four Feathers,tQ_MrNPOzG4,231,15,235159,0.14463220338983052
Super Troopers,EXYE7j7lp6M,120,2,6259413,0.2766545454545455
Rollerball,aVUxK1mNups,576,26,273389,0.1486956043956044
Hart's War,w610fTL5O-A,1274,41,331227,-0.08037358490566036
Tuck Everlasting,rXbbAbDvifw,2252,87,914215,0.17912828947368403
Martin Lawrence Live: Runteldat,OVyd68LMF-k,19,0,8479,0.0
Antwone Fisher,d7zXnqsFM-s,637,17,455551,0.3796372093023254
National Lampoon's Van Wilder,4k-4vO1QhCk,4542,224,2835928,0.16669275362318836
Bowling for Columbine,EUSpszWfu_w,446,100,369434,-0.24183516949152553
City by the Sea,gsVoD0pTge0,21806,1193,8145931,0.1731593186372745
Adaptation.,NSy2NzKK-8A,22065,2552,2065093,0.06789479999999998
Eight Crazy Nights,aZaKktj-_H4,,,174392,0.05871363636363636
